tag_name,created_at,id,upload_url,name,zipball_url,published_at,tarball_url,assets_url,prerelease,url,html_url,draft,target_commitish,
v3.0.2-release,2012-11-16T03:03:07Z,4265,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4265/assets{?namelabel},v3.0.2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.2-release,2013-07-05T03:49:48Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.2-release,https://api.github.com/repos/wet-boew/wet-boew/releases/4265/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4265,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.2-release,False,master,
v3.0.1-release,2012-10-10T02:13:43Z,4264,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4264/assets{?namelabel},v3.0.1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.1-release,2013-07-05T03:48:38Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.1-release,https://api.github.com/repos/wet-boew/wet-boew/releases/4264/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4264,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.1-release,False,master,
v3.0.0-release,2012-09-17T19:33:29Z,4263,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4263/assets{?namelabel},v3.0.0,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-release,2013-07-05T03:47:24Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-release,https://api.github.com/repos/wet-boew/wet-boew/releases/4263/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4263,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.0-release,False,master,
v3.0.7-release-src,2013-05-16T04:12:06Z,4262,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4262/assets{?namelabel},v3.0.7,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.7-release-src,2013-07-05T03:43:43Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.7-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4262/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4262,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.7-release-src,False,master,
v3.1.0-release-src,2013-04-11T13:06:52Z,4259,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4259/assets{?namelabel},v3.1.0 release,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-release-src,2013-07-05T03:41:26Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4259/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4259,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.0-release-src,False,master,
v3.0.6-release-src,2013-04-11T10:16:39Z,4257,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4257/assets{?namelabel},v3.0.6,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.6-release-src,2013-07-05T03:39:33Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.6-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4257/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4257,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.6-release-src,False,master,
tarball_url,draft,published_at,created_at,prerelease,target_commitish,url,name,id,tag_name,assets_url,upload_url,html_url,zipball_url,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.24,False,2017-02-22T19:10:03Z,2017-02-22T18:14:16Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/5539159,v4.0.24,5539159,v4.0.24,https://api.github.com/repos/wet-boew/wet-boew/releases/5539159/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/5539159/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.24,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.24,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.23,False,2016-11-18T20:11:55Z,2016-11-18T19:08:43Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/4702520,v4.0.23,4702520,v4.0.23,https://api.github.com/repos/wet-boew/wet-boew/releases/4702520/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4702520/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.23,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.23,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.22,False,2016-08-11T14:38:27Z,2016-08-11T12:48:24Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/3866133,v4.0.22,3866133,v4.0.22,https://api.github.com/repos/wet-boew/wet-boew/releases/3866133/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/3866133/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.22,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.22,
