name,commit_sha,tarball_url,commit_url,zipball_url,
v3.1.0-b1-src,bdbc80a0f035a41cdfc66d64c4282a26a22a7e51,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b1-src,https://api.github.com/repos/wet-boew/wet-boew/commits/bdbc80a0f035a41cdfc66d64c4282a26a22a7e51,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b1-src,
v3.1.0-b1-dist,40f486ca035752b2f66309d500c0fdc537a409bf,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b1-dist,https://api.github.com/repos/wet-boew/wet-boew/commits/40f486ca035752b2f66309d500c0fdc537a409bf,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b1-dist,
v3.1.0-a1,51a9e25d4f5415e99f80f9966359d77671231f01,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-a1,https://api.github.com/repos/wet-boew/wet-boew/commits/51a9e25d4f5415e99f80f9966359d77671231f01,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-a1,
v3.0.14,9bc28f58f4565714d3c21099249b20e2adc73ca1,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.14,https://api.github.com/repos/wet-boew/wet-boew/commits/9bc28f58f4565714d3c21099249b20e2adc73ca1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.14,
v3.0.13,c42bc00ab484b0d96d15cbe44cd44fda5ac0dd3b,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.13,https://api.github.com/repos/wet-boew/wet-boew/commits/c42bc00ab484b0d96d15cbe44cd44fda5ac0dd3b,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.13,
v3.0.12,573f5bab6e2846b30e0c8c9247959d685f0100e9,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.12,https://api.github.com/repos/wet-boew/wet-boew/commits/573f5bab6e2846b30e0c8c9247959d685f0100e9,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.12,
v3.0.11,98ca1ca2c6d347c01ef2d86b04d998763456e295,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.11,https://api.github.com/repos/wet-boew/wet-boew/commits/98ca1ca2c6d347c01ef2d86b04d998763456e295,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.11,
v3.0.10-release-src,c93220595cdcac256565f5d13c4a3432f6b49b09,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.10-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/c93220595cdcac256565f5d13c4a3432f6b49b09,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.10-release-src,
v3.0.9-release-src,f7468acd0c02ac293b4cde3cdd2493ae86fa1703,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.9-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/f7468acd0c02ac293b4cde3cdd2493ae86fa1703,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.9-release-src,
v3.0.8-release-src,04d33c8f824b824807c71b984bcd9645ae9c38a6,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.8-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/04d33c8f824b824807c71b984bcd9645ae9c38a6,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.8-release-src,
v3.0.7-release-src,8fe46ad6efd0803d6af96c5cb2b61205878f6bd9,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.7-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/8fe46ad6efd0803d6af96c5cb2b61205878f6bd9,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.7-release-src,
v3.0.6-release-src,ecbedc7b468d5c75741f5b0387ba15d07e792639,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.6-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/ecbedc7b468d5c75741f5b0387ba15d07e792639,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.6-release-src,
v3.0.5-release-src,723d7de18588b16ffe06fa096b6a823a56822688,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.5-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/723d7de18588b16ffe06fa096b6a823a56822688,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.5-release-src,
