Release,prsClosed,issuesClosed,issuesOpened,prsOpened,contributors,ReleaseDate
62,2,0,0,4,4,2014-02-28T18:01:54Z
1.6.0-beta7,2,0,0,4,3,2016-03-02T15:03:50Z
1.7.0,11,0,0,15,11,2016-04-13T18:38:46Z
Arsenic,11,0,0,9,4,2013-10-30T01:28:49Z
Nickel,1,0,0,0,0,2013-10-02T18:26:25Z
1.13.0-beta7,0,0,0,1,1,2016-12-08T20:42:41Z
1.6.0-beta0,0,0,0,0,0,2016-02-09T18:40:37Z
1.3.0-beta6,3,0,0,5,4,2015-11-23T18:50:56Z
135,2,0,0,2,2,2014-10-02T17:04:26Z
Palladium,7,0,0,4,2,2014-01-16T01:54:06Z
1.0.8,35,0,0,42,24,2015-08-27T17:28:31Z
107,31,0,0,31,10,2014-07-02T16:51:09Z
130,13,0,0,17,8,2014-09-23T17:03:14Z
Rubidium,4,0,0,1,1,2013-11-19T00:09:25Z
Technetium,11,0,0,10,5,2013-12-09T22:40:54Z
120,3,0,0,6,5,2014-07-28T21:08:13Z
96,16,0,0,22,16,2014-05-19T15:52:06Z
1.5.0-beta2,1,0,0,3,3,2016-02-01T19:01:52Z
1.1.0,48,0,0,53,28,2015-10-29T18:00:41Z
0.184.0,1,0,0,2,2,2015-02-25T22:20:08Z
1.15.0-beta1,0,0,0,0,0,2017-02-09T21:16:55Z
1.2.0,3,0,0,1,1,2015-11-12T16:59:31Z
1.12.1,1,0,0,2,2,2016-11-10T22:09:05Z
123,3,0,0,5,5,2014-08-15T19:17:09Z
1.12.3,1,0,0,1,1,2016-11-15T09:38:55Z
Zirconium,13,0,0,13,5,2013-12-04T19:26:06Z
0.207.0,2,0,0,4,4,2015-06-05T19:05:05Z
1.13.0-beta10,0,0,0,0,0,2017-01-04T23:21:31Z
1.14.0-beta1,19,0,0,14,9,2017-01-14T00:41:58Z
1.6.0-beta6,8,0,0,11,9,2016-02-26T19:34:51Z
1.8.0-beta1,0,0,0,0,0,2016-04-14T22:55:09Z
1.13.0-beta2,1,0,0,0,0,2016-11-11T21:38:11Z
1.13.0-beta6,0,0,0,0,0,2016-11-25T13:22:27Z
154,11,0,0,11,8,2014-12-09T00:54:30Z
129,0,0,0,0,0,2014-09-16T17:02:45Z
1.4.3,5,0,0,5,3,2016-02-02T19:50:47Z
127,3,0,0,2,2,2014-09-11T20:45:26Z
0.179.0,1,0,0,5,3,2015-02-11T20:20:24Z
1.14.0-beta3,0,0,0,1,1,2017-01-25T09:04:11Z
1.7.2,0,0,0,0,0,2016-04-19T00:52:46Z
70,4,0,0,2,2,2014-03-10T15:52:35Z
153,17,0,0,19,10,2014-12-05T16:44:28Z
1.9.9,0,0,0,0,0,2016-08-17T23:27:06Z
1.12.0-beta4,5,0,0,9,9,2016-10-25T01:30:09Z
147,18,0,0,14,6,2014-11-18T17:36:14Z
104,22,0,0,21,14,2014-06-17T18:55:53Z
84,4,0,0,2,1,2014-04-04T21:03:51Z
