milestone_id,,title,labels,release_Date,user_login,url,html_url,user_htmlURL,locked,release_Name,updated_at,number,repository_url,created_at,events_url,closed_at,comments_url,labels_url,state,id,milestone_htmlURL,
280508,,Helium task list,enhancement ,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/471,https://github.com/atom/atom/issues/471,https://github.com/probablycorey,False,Iron,2013-04-12T18:16:45Z,471,https://api.github.com/repos/atom/atom,2013-04-03T00:11:42Z,https://api.github.com/repos/atom/atom/issues/471/events,2013-04-12T18:16:45Z,https://api.github.com/repos/atom/atom/issues/471/comments,https://api.github.com/repos/atom/atom/issues/471/labels{/name},closed,12731968,https://github.com/atom/atom/milestone/3,
249389,,Switch wrap-guide to use editor.preferredLineLength config key,,2013-09-10T07:06:21Z,nathansobo,https://api.github.com/repos/atom/atom/issues/262,https://github.com/atom/atom/issues/262,https://github.com/nathansobo,False,Iron,2013-02-14T20:08:03Z,262,https://api.github.com/repos/atom/atom,2013-02-13T04:44:39Z,https://api.github.com/repos/atom/atom/issues/262/events,2013-02-14T20:08:03Z,https://api.github.com/repos/atom/atom/issues/262/comments,https://api.github.com/repos/atom/atom/issues/262/labels{/name},closed,10940719,https://github.com/atom/atom/milestone/2,
327939,,cmd+t showing "No matches found" without me typing anything,bug ,2013-09-10T07:06:21Z,bleikamp,https://api.github.com/repos/atom/atom/issues/514,https://github.com/atom/atom/issues/514,https://github.com/bleikamp,False,Iron,2013-05-06T23:37:12Z,514,https://api.github.com/repos/atom/atom,2013-04-24T00:44:09Z,https://api.github.com/repos/atom/atom/issues/514/events,2013-05-06T23:37:12Z,https://api.github.com/repos/atom/atom/issues/514/comments,https://api.github.com/repos/atom/atom/issues/514/labels{/name},closed,13566119,https://github.com/atom/atom/milestone/5,
337546,,Install packages,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/558,https://github.com/atom/atom/pull/558,https://github.com/kevinsawicki,False,Iron,2013-05-22T22:57:55Z,558,https://api.github.com/repos/atom/atom,2013-05-21T17:47:40Z,https://api.github.com/repos/atom/atom/issues/558/events,2013-05-22T22:57:37Z,https://api.github.com/repos/atom/atom/issues/558/comments,https://api.github.com/repos/atom/atom/issues/558/labels{/name},closed,14581034,https://github.com/atom/atom/milestone/7,
249389,,Insert line above,,2013-09-10T07:06:21Z,bleikamp,https://api.github.com/repos/atom/atom/issues/292,https://github.com/atom/atom/issues/292,https://github.com/bleikamp,False,Iron,2013-02-20T21:44:35Z,292,https://api.github.com/repos/atom/atom,2013-02-20T21:10:56Z,https://api.github.com/repos/atom/atom/issues/292/events,2013-02-20T21:44:35Z,https://api.github.com/repos/atom/atom/issues/292/comments,https://api.github.com/repos/atom/atom/issues/292/labels{/name},closed,11215521,https://github.com/atom/atom/milestone/2,
249389,,Document themes,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/188,https://github.com/atom/atom/issues/188,https://github.com/probablycorey,False,Iron,2013-02-14T02:19:51Z,188,https://api.github.com/repos/atom/atom,2013-01-29T01:25:15Z,https://api.github.com/repos/atom/atom/issues/188/events,2013-02-14T02:19:51Z,https://api.github.com/repos/atom/atom/issues/188/comments,https://api.github.com/repos/atom/atom/issues/188/labels{/name},closed,10400899,https://github.com/atom/atom/milestone/2,
249389,,Rename outline view to symbols view,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/156,https://github.com/atom/atom/issues/156,https://github.com/kevinsawicki,False,Iron,2013-01-23T02:45:30Z,156,https://api.github.com/repos/atom/atom,2013-01-22T21:53:06Z,https://api.github.com/repos/atom/atom/issues/156/events,2013-01-23T02:45:30Z,https://api.github.com/repos/atom/atom/issues/156/comments,https://api.github.com/repos/atom/atom/issues/156/labels{/name},closed,10211020,https://github.com/atom/atom/milestone/2,
327939,,Indexing… forever on github/github,bug ,2013-09-10T07:06:21Z,bleikamp,https://api.github.com/repos/atom/atom/issues/509,https://github.com/atom/atom/issues/509,https://github.com/bleikamp,False,Iron,2013-05-06T23:34:46Z,509,https://api.github.com/repos/atom/atom,2013-04-22T16:47:06Z,https://api.github.com/repos/atom/atom/issues/509/events,2013-05-06T23:34:46Z,https://api.github.com/repos/atom/atom/issues/509/comments,https://api.github.com/repos/atom/atom/issues/509/labels{/name},closed,13492146,https://github.com/atom/atom/milestone/5,
332810,,Highlight config.ru as a Ruby file,bug ,2013-09-10T07:06:21Z,dgraham,https://api.github.com/repos/atom/atom/issues/541,https://github.com/atom/atom/issues/541,https://github.com/dgraham,False,Iron,2013-05-13T23:51:40Z,541,https://api.github.com/repos/atom/atom,2013-05-07T15:09:51Z,https://api.github.com/repos/atom/atom/issues/541/events,2013-05-13T23:51:40Z,https://api.github.com/repos/atom/atom/issues/541/comments,https://api.github.com/repos/atom/atom/issues/541/labels{/name},closed,14053753,https://github.com/atom/atom/milestone/6,
249389,,Add version number as atom global,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/305,https://github.com/atom/atom/issues/305,https://github.com/kevinsawicki,False,Iron,2013-02-26T17:06:12Z,305,https://api.github.com/repos/atom/atom,2013-02-23T00:05:17Z,https://api.github.com/repos/atom/atom/issues/305/events,2013-02-26T17:06:12Z,https://api.github.com/repos/atom/atom/issues/305/comments,https://api.github.com/repos/atom/atom/issues/305/labels{/name},closed,11312214,https://github.com/atom/atom/milestone/2,
337546,,Crash on callback,bug ,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/556,https://github.com/atom/atom/issues/556,https://github.com/kevinsawicki,False,Iron,2013-05-22T22:29:04Z,556,https://api.github.com/repos/atom/atom,2013-05-20T15:50:38Z,https://api.github.com/repos/atom/atom/issues/556/events,2013-05-22T08:43:12Z,https://api.github.com/repos/atom/atom/issues/556/comments,https://api.github.com/repos/atom/atom/issues/556/labels{/name},closed,14525736,https://github.com/atom/atom/milestone/7,
249389,,Make jQuery usable from a web worker,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/228,https://github.com/atom/atom/issues/228,https://github.com/kevinsawicki,False,Iron,2013-02-04T19:44:32Z,228,https://api.github.com/repos/atom/atom,2013-02-02T20:51:06Z,https://api.github.com/repos/atom/atom/issues/228/events,2013-02-04T19:44:32Z,https://api.github.com/repos/atom/atom/issues/228/comments,https://api.github.com/repos/atom/atom/issues/228/labels{/name},closed,10576711,https://github.com/atom/atom/milestone/2,
