releaseName,releaseDate,contributors
1.8.0-beta2,2016-04-19T00:52:30Z,6
1.7.2,2016-04-19T00:52:46Z,0
1.7.3,2016-04-28T15:38:43Z,13
1.8.0-beta3,2016-04-28T15:41:32Z,0
1.7.4,2016-05-20T00:03:09Z,19
1.8.0-beta4,2016-05-20T00:18:40Z,0
1.9.0-beta0,2016-06-06T16:24:25Z,12
1.8.0,2016-06-06T21:29:19Z,1
1.9.0-beta1,2016-07-22T22:43:06Z,36
1.9.0-beta2,2016-07-27T23:30:16Z,6
1.9.0,2016-07-29T21:12:56Z,2
1.10.0-beta0,2016-07-29T22:51:45Z,0
1.9.1,2016-08-02T18:47:56Z,5
1.9.2,2016-08-03T00:38:03Z,2
1.10.0-beta1,2016-08-03T14:29:20Z,2
1.9.3,2016-08-04T21:03:06Z,1
1.9.4,2016-08-04T23:49:31Z,1
1.9.5,2016-08-05T18:39:34Z,0
1.10.0-beta2,2016-08-05T19:18:28Z,1
1.9.6,2016-08-06T14:40:11Z,1
1.10.0-beta3,2016-08-06T14:47:51Z,0
1.9.7,2016-08-08T19:36:05Z,3
1.10.0-beta4,2016-08-08T19:36:22Z,0
1.9.8,2016-08-10T18:54:19Z,4
1.10.0-beta5,2016-08-10T19:00:25Z,0
1.10.0-beta6,2016-08-17T21:45:26Z,12
1.9.9,2016-08-17T23:27:06Z,0
1.10.0-beta7,2016-08-23T18:55:20Z,5
1.10.0,2016-08-30T17:58:46Z,13
1.11.0-beta0,2016-08-30T20:45:44Z,1
1.11.0-beta1,2016-09-01T09:09:29Z,6
1.11.0-beta2,2016-09-01T15:14:43Z,2
1.11.0-beta3,2016-09-02T14:07:06Z,2
1.10.1,2016-09-06T17:26:25Z,3
1.11.0-beta4,2016-09-06T17:27:15Z,0
1.11.0-beta5,2016-09-07T21:05:06Z,2
1.10.2,2016-09-07T21:06:15Z,0
1.12.0-beta0,2016-10-11T13:24:32Z,54
1.11.0,2016-10-11T13:58:41Z,0
1.11.1,2016-10-11T22:22:04Z,6
1.12.0-beta1,2016-10-12T17:50:09Z,1
1.12.0-beta2,2016-10-15T03:58:14Z,9
1.11.2,2016-10-17T21:18:42Z,7
1.12.0-beta3,2016-10-18T17:41:54Z,0
1.12.0-beta4,2016-10-25T01:30:09Z,9
1.12.0-beta5,2016-10-27T20:43:19Z,9
1.12.0-beta6,2016-11-02T00:20:30Z,12
1.12.0-beta7,2016-11-03T04:07:03Z,0
1.12.0,2016-11-09T19:55:15Z,5
1.13.0-beta0,2016-11-09T19:55:15Z,0
1.12.1,2016-11-10T22:09:05Z,2
1.13.0-beta1,2016-11-10T22:09:30Z,0
1.12.2,2016-11-11T21:12:29Z,3
1.13.0-beta2,2016-11-11T21:38:11Z,0
1.12.3,2016-11-15T09:38:55Z,1
1.13.0-beta3,2016-11-15T09:39:51Z,0
1.12.4,2016-11-17T21:32:53Z,2
1.13.0-beta4,2016-11-17T22:46:38Z,1
1.12.5,2016-11-21T00:44:05Z,3
1.13.0-beta5,2016-11-21T00:44:25Z,0
1.12.6,2016-11-25T13:22:11Z,9
1.13.0-beta6,2016-11-25T13:22:27Z,0
1.12.7,2016-12-08T20:26:09Z,11
1.13.0-beta7,2016-12-08T20:42:41Z,1
1.13.0-beta8,2016-12-09T17:47:43Z,4
1.13.0-beta9,2017-01-03T19:41:46Z,15
1.12.8,2017-01-03T20:05:15Z,0
1.12.9,2017-01-04T23:19:46Z,3
1.13.0-beta10,2017-01-04T23:21:31Z,0
1.13.0,2017-01-10T18:13:18Z,7
1.14.0-beta0,2017-01-10T18:13:19Z,0
1.14.0-beta1,2017-01-14T00:41:58Z,9
1.14.0-beta2,2017-01-18T06:33:39Z,5
1.13.1,2017-01-24T12:51:29Z,10
1.14.0-beta3,2017-01-25T09:04:11Z,1
1.14.0-beta4,2017-02-02T14:01:45Z,5
1.14.0,2017-02-07T23:48:24Z,11
1.15.0-beta0,2017-02-08T19:53:04Z,0
1.14.1,2017-02-09T21:15:28Z,0
1.15.0-beta1,2017-02-09T21:16:55Z,0
1.14.2,2017-02-14T18:24:48Z,6
1.15.0-beta2,2017-02-14T18:25:01Z,0
1.14.3,2017-02-17T16:53:06Z,6
1.15.0-beta3,2017-02-17T17:26:09Z,0
1.15.0-beta4,2017-02-27T17:32:37Z,6
1.14.4,2017-02-27T17:32:59Z,0
1.15.0,2017-03-08T20:18:47Z,11
1.16.0-beta0,2017-03-08T23:50:26Z,0
1.16.0,2017-04-11T18:06:14Z,22
1.17.0-beta0,2017-04-12T18:00:29Z,3
1.17.0-beta1,2017-04-13T16:18:35Z,1
1.17.0-beta2,2017-04-14T15:39:17Z,1
1.17.0-beta3,2017-04-18T16:52:31Z,6
1.17.0-beta4,2017-04-26T18:30:17Z,8
