number,user_htmlURL,repository_url,user_login,labels_url,title,milestone_id,updated_at,events_url,created_at,html_url,locked,comments_url,closed_at,url,id,milestone_htmlURL,labels,state,
312,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/312/labels{/name},Atom does not check for updates when run with --dev,249389,2013-02-26T18:00:32Z,https://api.github.com/repos/atom/atom/issues/312/events,2013-02-26T17:10:44Z,https://github.com/atom/atom/issues/312,False,https://api.github.com/repos/atom/atom/issues/312/comments,2013-02-26T18:00:32Z,https://api.github.com/repos/atom/atom/issues/312,11418345,https://github.com/atom/atom/milestone/2,,closed,
305,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/305/labels{/name},Add version number as atom global,249389,2013-02-26T17:06:12Z,https://api.github.com/repos/atom/atom/issues/305/events,2013-02-23T00:05:17Z,https://github.com/atom/atom/issues/305,False,https://api.github.com/repos/atom/atom/issues/305/comments,2013-02-26T17:06:12Z,https://api.github.com/repos/atom/atom/issues/305,11312214,https://github.com/atom/atom/milestone/2,,closed,
304,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/304/labels{/name},Folded lines don't line up with gutter,249389,2013-02-25T17:50:07Z,https://api.github.com/repos/atom/atom/issues/304/events,2013-02-22T22:48:47Z,https://github.com/atom/atom/issues/304,False,https://api.github.com/repos/atom/atom/issues/304/comments,2013-02-25T17:50:07Z,https://api.github.com/repos/atom/atom/issues/304,11309960,https://github.com/atom/atom/milestone/2,,closed,
300,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/300/labels{/name},Move atom cli creation out of Rakefile and into the app,249389,2013-02-23T05:19:56Z,https://api.github.com/repos/atom/atom/issues/300/events,2013-02-22T00:31:12Z,https://github.com/atom/atom/issues/300,False,https://api.github.com/repos/atom/atom/issues/300/comments,2013-02-23T05:19:56Z,https://api.github.com/repos/atom/atom/issues/300,11268956,https://github.com/atom/atom/milestone/2,,closed,
299,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/299/labels{/name},Move .atom creation out of Rakefile and into the app,249389,2013-02-22T22:46:34Z,https://api.github.com/repos/atom/atom/issues/299/events,2013-02-22T00:30:51Z,https://github.com/atom/atom/issues/299,False,https://api.github.com/repos/atom/atom/issues/299/comments,2013-02-22T22:46:34Z,https://api.github.com/repos/atom/atom/issues/299,11268943,https://github.com/atom/atom/milestone/2,,closed,
295,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/295/labels{/name},Go to line dialog missing light theme styles,249389,2013-02-22T05:07:33Z,https://api.github.com/repos/atom/atom/issues/295/events,2013-02-21T04:55:26Z,https://github.com/atom/atom/issues/295,False,https://api.github.com/repos/atom/atom/issues/295/comments,2013-02-22T05:07:33Z,https://api.github.com/repos/atom/atom/issues/295,11228167,https://github.com/atom/atom/milestone/2,,closed,
292,https://github.com/bleikamp,https://api.github.com/repos/atom/atom,bleikamp,https://api.github.com/repos/atom/atom/issues/292/labels{/name},Insert line above,249389,2013-02-20T21:44:35Z,https://api.github.com/repos/atom/atom/issues/292/events,2013-02-20T21:10:56Z,https://github.com/atom/atom/issues/292,False,https://api.github.com/repos/atom/atom/issues/292/comments,2013-02-20T21:44:35Z,https://api.github.com/repos/atom/atom/issues/292,11215521,https://github.com/atom/atom/milestone/2,,closed,
290,https://github.com/dgraham,https://api.github.com/repos/atom/atom,dgraham,https://api.github.com/repos/atom/atom/issues/290/labels{/name},Text selection is slow,249389,2013-02-22T18:17:01Z,https://api.github.com/repos/atom/atom/issues/290/events,2013-02-20T16:52:16Z,https://github.com/atom/atom/issues/290,False,https://api.github.com/repos/atom/atom/issues/290/comments,2013-02-21T20:37:25Z,https://api.github.com/repos/atom/atom/issues/290,11205208,https://github.com/atom/atom/milestone/2,,closed,
287,https://github.com/dgraham,https://api.github.com/repos/atom/atom,dgraham,https://api.github.com/repos/atom/atom/issues/287/labels{/name},Text selection from line number column,249389,2013-02-20T15:29:26Z,https://api.github.com/repos/atom/atom/issues/287/events,2013-02-19T19:20:08Z,https://github.com/atom/atom/issues/287,False,https://api.github.com/repos/atom/atom/issues/287/comments,2013-02-20T02:16:38Z,https://api.github.com/repos/atom/atom/issues/287,11167695,https://github.com/atom/atom/milestone/2,,closed,
286,https://github.com/dgraham,https://api.github.com/repos/atom/atom,dgraham,https://api.github.com/repos/atom/atom/issues/286/labels{/name},Background windows lose text selection,249389,2013-02-20T00:59:02Z,https://api.github.com/repos/atom/atom/issues/286/events,2013-02-19T19:13:13Z,https://github.com/atom/atom/issues/286,False,https://api.github.com/repos/atom/atom/issues/286/comments,2013-02-20T00:59:00Z,https://api.github.com/repos/atom/atom/issues/286,11167376,https://github.com/atom/atom/milestone/2,,closed,
