id,name,prerelease,url,assets_url,upload_url,html_url,tarball_url,created_at,tag_name,published_at,zipball_url,target_commitish,draft,
4902919,2.2.0,True,https://api.github.com/repos/facebook/osquery/releases/4902919,https://api.github.com/repos/facebook/osquery/releases/4902919/assets,https://uploads.github.com/repos/facebook/osquery/releases/4902919/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.2.0,https://api.github.com/repos/facebook/osquery/tarball/2.2.0,2016-12-13T02:00:49Z,2.2.0,2016-12-13T07:56:56Z,https://api.github.com/repos/facebook/osquery/zipball/2.2.0,master,False,
4567789,2.1.2,False,https://api.github.com/repos/facebook/osquery/releases/4567789,https://api.github.com/repos/facebook/osquery/releases/4567789/assets,https://uploads.github.com/repos/facebook/osquery/releases/4567789/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.1.2,https://api.github.com/repos/facebook/osquery/tarball/2.1.2,2016-11-04T06:54:55Z,2.1.2,2016-11-04T07:29:12Z,https://api.github.com/repos/facebook/osquery/zipball/2.1.2,master,False,
4522131,2.1.1,False,https://api.github.com/repos/facebook/osquery/releases/4522131,https://api.github.com/repos/facebook/osquery/releases/4522131/assets,https://uploads.github.com/repos/facebook/osquery/releases/4522131/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.1.1,https://api.github.com/repos/facebook/osquery/tarball/2.1.1,2016-10-30T23:23:22Z,2.1.1,2016-10-30T23:24:05Z,https://api.github.com/repos/facebook/osquery/zipball/2.1.1,master,False,
4513198,2.1.0,True,https://api.github.com/repos/facebook/osquery/releases/4513198,https://api.github.com/repos/facebook/osquery/releases/4513198/assets,https://uploads.github.com/repos/facebook/osquery/releases/4513198/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.1.0,https://api.github.com/repos/facebook/osquery/tarball/2.1.0,2016-10-26T04:03:51Z,2.1.0,2016-10-28T18:42:44Z,https://api.github.com/repos/facebook/osquery/zipball/2.1.0,master,False,
4294762,2.0.0,False,https://api.github.com/repos/facebook/osquery/releases/4294762,https://api.github.com/repos/facebook/osquery/releases/4294762/assets,https://uploads.github.com/repos/facebook/osquery/releases/4294762/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.0.0,https://api.github.com/repos/facebook/osquery/tarball/2.0.0,2016-10-03T19:23:46Z,2.0.0,2016-10-04T00:31:54Z,https://api.github.com/repos/facebook/osquery/zipball/2.0.0,master,False,
3772509,1.8.2,False,https://api.github.com/repos/facebook/osquery/releases/3772509,https://api.github.com/repos/facebook/osquery/releases/3772509/assets,https://uploads.github.com/repos/facebook/osquery/releases/3772509/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/1.8.2,https://api.github.com/repos/facebook/osquery/tarball/1.8.2,2016-07-29T03:09:28Z,1.8.2,2016-07-29T18:02:08Z,https://api.github.com/repos/facebook/osquery/zipball/1.8.2,master,False,
3713811,1.8.1,False,https://api.github.com/repos/facebook/osquery/releases/3713811,https://api.github.com/repos/facebook/osquery/releases/3713811/assets,https://uploads.github.com/repos/facebook/osquery/releases/3713811/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/1.8.1,https://api.github.com/repos/facebook/osquery/tarball/1.8.1,2016-07-21T21:29:17Z,1.8.1,2016-07-21T21:39:03Z,https://api.github.com/repos/facebook/osquery/zipball/1.8.1,master,False,
3660782,1.8.0,False,https://api.github.com/repos/facebook/osquery/releases/3660782,https://api.github.com/repos/facebook/osquery/releases/3660782/assets,https://uploads.github.com/repos/facebook/osquery/releases/3660782/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/1.8.0,https://api.github.com/repos/facebook/osquery/tarball/1.8.0,2016-07-13T18:29:07Z,1.8.0,2016-07-14T19:52:21Z,https://api.github.com/repos/facebook/osquery/zipball/1.8.0,master,False,
3534920,1.7.7,True,https://api.github.com/repos/facebook/osquery/releases/3534920,https://api.github.com/repos/facebook/osquery/releases/3534920/assets,https://uploads.github.com/repos/facebook/osquery/releases/3534920/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/1.7.7,https://api.github.com/repos/facebook/osquery/tarball/1.7.7,2016-06-27T23:39:04Z,1.7.7,2016-06-28T00:29:22Z,https://api.github.com/repos/facebook/osquery/zipball/1.7.7,master,False,
3486790,1.7.6,True,https://api.github.com/repos/facebook/osquery/releases/3486790,https://api.github.com/repos/facebook/osquery/releases/3486790/assets,https://uploads.github.com/repos/facebook/osquery/releases/3486790/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/1.7.6,https://api.github.com/repos/facebook/osquery/tarball/1.7.6,2016-06-20T06:27:16Z,1.7.6,2016-06-21T06:01:21Z,https://api.github.com/repos/facebook/osquery/zipball/1.7.6,master,False,
