merge_commit_sha,state,diff_url,locked,issue_url,statuses_url,title,review_comments_url,user_login,url,milestone_htmlURL,closed_at,html_url,created_at,merged_at,commits_url,number,user_htmlURL,patch_url,review_comment_url,comments_url,milestone_id,
e33002e922e7533cd761b6abf04103e24c994e15,closed,https://github.com/facebook/osquery/pull/2584.diff,False,https://api.github.com/repos/facebook/osquery/issues/2584,https://api.github.com/repos/facebook/osquery/statuses/aa006fcafba41fcc877bb0d0476093b4c9a9beb4,Change memory_info fields to BIGINT to handle 4G and larger sizes,https://api.github.com/repos/facebook/osquery/pulls/2584/comments,lambda-conjecture,https://api.github.com/repos/facebook/osquery/pulls/2584,None,2016-10-03T01:12:35Z,https://github.com/facebook/osquery/pull/2584,2016-10-02T14:27:39Z,2016-10-03T01:12:35Z,https://api.github.com/repos/facebook/osquery/pulls/2584/commits,2584,https://github.com/lambda-conjecture,https://github.com/facebook/osquery/pull/2584.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2584/comments,None,
b69981584fb0dc305688251fb08f9dc1b6b88fba,closed,https://github.com/facebook/osquery/pull/2583.diff,False,https://api.github.com/repos/facebook/osquery/issues/2583,https://api.github.com/repos/facebook/osquery/statuses/f56437eb00ed0b5561222fdc0841bf94906fa1eb,Fixing a COM memory leak in the WMI wrapper,https://api.github.com/repos/facebook/osquery/pulls/2583/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/2583,None,2016-10-02T19:15:18Z,https://github.com/facebook/osquery/pull/2583,2016-10-02T06:11:47Z,2016-10-02T19:15:18Z,https://api.github.com/repos/facebook/osquery/pulls/2583/commits,2583,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/2583.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2583/comments,None,
c18b2260e85ed7fbdc4a98aaae71d5a80e8494de,closed,https://github.com/facebook/osquery/pull/2582.diff,False,https://api.github.com/repos/facebook/osquery/issues/2582,https://api.github.com/repos/facebook/osquery/statuses/4cccb273444dcf1bccd98966ad85e1ebfd4926ff,add Zentral remote TLS server info,https://api.github.com/repos/facebook/osquery/pulls/2582/comments,headmin,https://api.github.com/repos/facebook/osquery/pulls/2582,None,2016-10-03T15:21:27Z,https://github.com/facebook/osquery/pull/2582,2016-10-01T17:05:59Z,2016-10-03T15:21:27Z,https://api.github.com/repos/facebook/osquery/pulls/2582/commits,2582,https://github.com/headmin,https://github.com/facebook/osquery/pull/2582.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2582/comments,None,
6f1031a155ac637789d9e7e4667b2696e6581cfc,closed,https://github.com/facebook/osquery/pull/2577.diff,False,https://api.github.com/repos/facebook/osquery/issues/2577,https://api.github.com/repos/facebook/osquery/statuses/f2f4526c0f6289b94be079ff540a72021af5a0e6,Remove package gcc from arch linux provisioner,https://api.github.com/repos/facebook/osquery/pulls/2577/comments,tonylambiris,https://api.github.com/repos/facebook/osquery/pulls/2577,None,2016-09-30T22:59:59Z,https://github.com/facebook/osquery/pull/2577,2016-09-30T16:51:42Z,2016-09-30T22:59:59Z,https://api.github.com/repos/facebook/osquery/pulls/2577/commits,2577,https://github.com/tonylambiris,https://github.com/facebook/osquery/pull/2577.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2577/comments,None,
6c4d2e2f3124fdb9b3399706deb6c3201d4b6745,closed,https://github.com/facebook/osquery/pull/2576.diff,False,https://api.github.com/repos/facebook/osquery/issues/2576,https://api.github.com/repos/facebook/osquery/statuses/ff13842a2a0bd76605be04188a6b3295bf0f9086,Remove gcc from arch provision,https://api.github.com/repos/facebook/osquery/pulls/2576/comments,tonylambiris,https://api.github.com/repos/facebook/osquery/pulls/2576,None,2016-09-30T16:31:03Z,https://github.com/facebook/osquery/pull/2576,2016-09-30T16:30:23Z,None,https://api.github.com/repos/facebook/osquery/pulls/2576/commits,2576,https://github.com/tonylambiris,https://github.com/facebook/osquery/pull/2576.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2576/comments,None,
07a2a3c2923dcae46933fbfc67247c7818ed53b6,closed,https://github.com/facebook/osquery/pull/2573.diff,False,https://api.github.com/repos/facebook/osquery/issues/2573,https://api.github.com/repos/facebook/osquery/statuses/d10b0af4bec0982cea0e38f4168f6b6a9ea1882f,Updating processes table to include memory,https://api.github.com/repos/facebook/osquery/pulls/2573/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/2573,None,2016-10-03T05:41:05Z,https://github.com/facebook/osquery/pull/2573,2016-09-29T22:42:16Z,2016-10-03T05:41:05Z,https://api.github.com/repos/facebook/osquery/pulls/2573/commits,2573,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/2573.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2573/comments,None,
a42a57caeadd372d54d331d63916192e3baee447,closed,https://github.com/facebook/osquery/pull/2570.diff,False,https://api.github.com/repos/facebook/osquery/issues/2570,https://api.github.com/repos/facebook/osquery/statuses/0294b569233d511be0c49c40062f735e8cb69e75,add osx komplex query,https://api.github.com/repos/facebook/osquery/pulls/2570/comments,friedbutter,https://api.github.com/repos/facebook/osquery/pulls/2570,None,2016-09-29T14:25:26Z,https://github.com/facebook/osquery/pull/2570,2016-09-29T14:08:23Z,2016-09-29T14:25:26Z,https://api.github.com/repos/facebook/osquery/pulls/2570/commits,2570,https://github.com/friedbutter,https://github.com/facebook/osquery/pull/2570.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2570/comments,None,
68e68b1d6a4b0842a11ce96664d154775c2d63b2,closed,https://github.com/facebook/osquery/pull/2565.diff,False,https://api.github.com/repos/facebook/osquery/issues/2565,https://api.github.com/repos/facebook/osquery/statuses/14a392149c716e6f544b71e3b81fceec79d26387,deps: Add yara 3.5.0 and sleuthkit 4.3.0 bottles,https://api.github.com/repos/facebook/osquery/pulls/2565/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/2565,None,2016-09-29T00:39:33Z,https://github.com/facebook/osquery/pull/2565,2016-09-29T00:13:51Z,2016-09-29T00:39:33Z,https://api.github.com/repos/facebook/osquery/pulls/2565/commits,2565,https://github.com/theopolis,https://github.com/facebook/osquery/pull/2565.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2565/comments,None,
71bd3b6416b1c207ee85c1220d1b47aaa115294a,closed,https://github.com/facebook/osquery/pull/2563.diff,False,https://api.github.com/repos/facebook/osquery/issues/2563,https://api.github.com/repos/facebook/osquery/statuses/cd0736402cf7883ce6a2d5e4d685e8d594e39e81,Adding gates to non-implemented windows tests,https://api.github.com/repos/facebook/osquery/pulls/2563/comments,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/pulls/2563,None,2016-09-29T00:15:24Z,https://github.com/facebook/osquery/pull/2563,2016-09-28T23:01:20Z,2016-09-29T00:15:24Z,https://api.github.com/repos/facebook/osquery/pulls/2563/commits,2563,https://github.com/poppyseedplehzr,https://github.com/facebook/osquery/pull/2563.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2563/comments,None,
5a0fbaf3b55226a0d36d89dea9e47c11b191dca0,closed,https://github.com/facebook/osquery/pull/2562.diff,False,https://api.github.com/repos/facebook/osquery/issues/2562,https://api.github.com/repos/facebook/osquery/statuses/21c1686bc5bf6fb711227b10712186b6f028d220,Fix memory leak at osquery/devtools/shell.cpp,https://api.github.com/repos/facebook/osquery/pulls/2562/comments,rogeliodh,https://api.github.com/repos/facebook/osquery/pulls/2562,None,2016-09-29T16:31:56Z,https://github.com/facebook/osquery/pull/2562,2016-09-28T21:54:36Z,2016-09-29T16:31:56Z,https://api.github.com/repos/facebook/osquery/pulls/2562/commits,2562,https://github.com/rogeliodh,https://github.com/facebook/osquery/pull/2562.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2562/comments,None,
a07c3cce5974025f8ac4721c170ee550ddc0d276,closed,https://github.com/facebook/osquery/pull/2561.diff,False,https://api.github.com/repos/facebook/osquery/issues/2561,https://api.github.com/repos/facebook/osquery/statuses/4bf75e7448032e925b92a1f60df76f606571b240,RPM packages now follow the form name-version-rev.platform.arch.rpm,https://api.github.com/repos/facebook/osquery/pulls/2561/comments,rogeliodh,https://api.github.com/repos/facebook/osquery/pulls/2561,None,2016-10-11T01:33:48Z,https://github.com/facebook/osquery/pull/2561,2016-09-28T21:23:32Z,2016-10-11T01:33:48Z,https://api.github.com/repos/facebook/osquery/pulls/2561/commits,2561,https://github.com/rogeliodh,https://github.com/facebook/osquery/pull/2561.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2561/comments,None,
