id,user_login,url,milestone_htmlURL,repository_url,state,labels_url,html_url,locked,closed_at,updated_at,number,created_at,user_htmlURL,labels,title,events_url,comments_url,milestone_id,
170536345,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2340,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2340/labels{/name},https://github.com/facebook/osquery/pull/2340,False,2016-08-10T23:36:51Z,2016-08-10T23:37:25Z,2340,2016-08-10T22:44:36Z,https://github.com/artemdinaburg,build/test CLA Signed Windows ,Windows: Error if provisioning fails,https://api.github.com/repos/facebook/osquery/issues/2340/events,https://api.github.com/repos/facebook/osquery/issues/2340/comments,1672937,
170527358,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2339,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2339/labels{/name},https://github.com/facebook/osquery/pull/2339,False,2016-08-10T23:48:33Z,2016-08-10T23:49:06Z,2339,2016-08-10T21:50:15Z,https://github.com/artemdinaburg,build/test CLA Signed Windows ,Windows: Copy required DLLs into the build directory,https://api.github.com/repos/facebook/osquery/issues/2339/events,https://api.github.com/repos/facebook/osquery/issues/2339/comments,1672937,
170268063,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2333,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2333/labels{/name},https://github.com/facebook/osquery/pull/2333,False,2016-08-10T21:06:47Z,2016-08-10T21:06:48Z,2333,2016-08-09T20:53:51Z,https://github.com/artemdinaburg,CLA Signed needs response Windows ,Fix Windows under 1.8 build system,https://api.github.com/repos/facebook/osquery/issues/2333/events,https://api.github.com/repos/facebook/osquery/issues/2333/comments,1672937,
167710005,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/issues/2296,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2296/labels{/name},https://github.com/facebook/osquery/issues/2296,False,2016-08-10T23:48:33Z,2016-08-10T23:48:33Z,2296,2016-07-26T20:57:30Z,https://github.com/poppyseedplehzr,build/test Windows ,Have CMake build windows binaries,https://api.github.com/repos/facebook/osquery/issues/2296/events,https://api.github.com/repos/facebook/osquery/issues/2296/comments,1672937,
167499962,theopolis,https://api.github.com/repos/facebook/osquery/issues/2292,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2292/labels{/name},https://github.com/facebook/osquery/issues/2292,False,2016-08-10T23:36:51Z,2016-08-10T23:36:51Z,2292,2016-07-26T01:09:13Z,https://github.com/theopolis,bug build/test dependencies Windows ,Windows build: boost-msvc14 not found but provision succeeds,https://api.github.com/repos/facebook/osquery/issues/2292/events,https://api.github.com/repos/facebook/osquery/issues/2292/comments,1672937,
165222651,zwass,https://api.github.com/repos/facebook/osquery/issues/2244,https://github.com/facebook/osquery/milestone/26,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2244/labels{/name},https://github.com/facebook/osquery/pull/2244,False,2016-07-27T22:26:45Z,2017-03-16T15:39:44Z,2244,2016-07-13T02:23:49Z,https://github.com/zwass,CLA Signed logging ,Add release valve for purging buffered logs in BufferedLogForwarder,https://api.github.com/repos/facebook/osquery/issues/2244/events,https://api.github.com/repos/facebook/osquery/issues/2244/comments,1871218,
164452987,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2233,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2233/labels{/name},https://github.com/facebook/osquery/pull/2233,False,2016-07-14T21:19:33Z,2016-07-14T21:19:33Z,2233,2016-07-08T03:33:50Z,https://github.com/artemdinaburg,CLA Signed Windows ,Transition __attribute__((constructor)) to a more platform independent approach,https://api.github.com/repos/facebook/osquery/issues/2233/events,https://api.github.com/repos/facebook/osquery/issues/2233/comments,1672937,
163991027,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2220,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2220/labels{/name},https://github.com/facebook/osquery/pull/2220,False,2016-07-06T04:18:14Z,2016-07-12T20:47:30Z,2220,2016-07-06T03:24:03Z,https://github.com/artemdinaburg,CLA Signed test error Windows ,Merge posix/windows processes table into single entity,https://api.github.com/repos/facebook/osquery/issues/2220/events,https://api.github.com/repos/facebook/osquery/issues/2220/comments,1672937,
163248981,zwass,https://api.github.com/repos/facebook/osquery/issues/2206,https://github.com/facebook/osquery/milestone/26,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2206/labels{/name},https://github.com/facebook/osquery/issues/2206,False,2016-07-27T22:26:45Z,2016-07-27T22:26:45Z,2206,2016-06-30T19:32:53Z,https://github.com/zwass,logging RFC ,Method for purging buffered logs in buffered logger plugins,https://api.github.com/repos/facebook/osquery/issues/2206/events,https://api.github.com/repos/facebook/osquery/issues/2206/comments,1871218,
162995572,theopolis,https://api.github.com/repos/facebook/osquery/issues/2196,https://github.com/facebook/osquery/milestone/26,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2196/labels{/name},https://github.com/facebook/osquery/issues/2196,False,2016-07-08T00:33:54Z,2016-07-08T00:33:54Z,2196,2016-06-29T18:33:07Z,https://github.com/theopolis,extensions question ,osquery shell extension manager /tmp/osquery socket usage,https://api.github.com/repos/facebook/osquery/issues/2196/events,https://api.github.com/repos/facebook/osquery/issues/2196/comments,1871218,
162531841,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2194,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2194/labels{/name},https://github.com/facebook/osquery/pull/2194,False,2016-06-28T18:19:32Z,2016-06-28T18:19:33Z,2194,2016-06-27T19:43:11Z,https://github.com/artemdinaburg,CLA Signed Windows ,Windows Daemon/Shell: CMake changes to build Windows tables,https://api.github.com/repos/facebook/osquery/issues/2194/events,https://api.github.com/repos/facebook/osquery/issues/2194/comments,1672937,
162489795,theopolis,https://api.github.com/repos/facebook/osquery/issues/2192,https://github.com/facebook/osquery/milestone/25,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2192/labels{/name},https://github.com/facebook/osquery/issues/2192,False,2016-06-27T23:19:51Z,2016-06-27T23:19:51Z,2192,2016-06-27T16:10:41Z,https://github.com/theopolis,bug deployment ,make_PLATFORM_package scripts are executed in Package.cmake expecting execute bits,https://api.github.com/repos/facebook/osquery/issues/2192/events,https://api.github.com/repos/facebook/osquery/issues/2192/comments,1851037,
162380506,theopolis,https://api.github.com/repos/facebook/osquery/issues/2191,https://github.com/facebook/osquery/milestone/25,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2191/labels{/name},https://github.com/facebook/osquery/issues/2191,False,2016-06-27T23:39:17Z,2016-06-27T23:39:17Z,2191,2016-06-27T06:12:27Z,https://github.com/theopolis,bug unbreak now ,Use `noexcept` methods within `osquery::filesystem` and other library abstractions,https://api.github.com/repos/facebook/osquery/issues/2191/events,https://api.github.com/repos/facebook/osquery/issues/2191/comments,1851037,
162233487,artemdinaburg,https://api.github.com/repos/facebook/osquery/issues/2188,https://github.com/facebook/osquery/milestone/20,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2188/labels{/name},https://github.com/facebook/osquery/pull/2188,False,2016-07-01T21:56:08Z,2016-07-01T21:56:08Z,2188,2016-06-24T21:22:26Z,https://github.com/artemdinaburg,CLA Signed Windows ,Windows Daemon/Shell: Make osquery code more Windows-friendly ,https://api.github.com/repos/facebook/osquery/issues/2188/events,https://api.github.com/repos/facebook/osquery/issues/2188/comments,1672937,
